Gene,Fusion
LINC01346,14499
FITM1,6514
PSME1,6514
RAPSN,9113
PSMC3,9113
XRCC2,12397
C8ORF76,5194
ZHX1-C8ORF76,5194
ZNF841,8481
AC006272.1,8481
AGAP2,7911
METTL21B,7911
GATAD2B,14499
NUP210L,14499
ACYP1,6514
MLH3,6514
BCKDK,5049
KAT8,5049
ZNF432,8481
CDK4,7911
MYH9,3475
LINC00619,2967
LINC00840,2967
AP000320.7,1907
NPIPB1P,1207
STAC3,7911
MRPS6,1907
OS9,7911
SLC5A3,1907
CTBS,14499
GNG5,14499
EEF1D,5194
NAPRT,5194
EEF1DP3,1058
FRY,1058
LINC00415,1058
SHISA2,1058
METTL23,10750
MFSD11,10750
RPS5,8481
VIM,2967
TBC1D22A,3475
SLCO3A1,8400
AC133528.2,9803
ING5,9803
ACACA,10750
MED1,10750
RPL3,3475
MFSD3,5194
LRRC14,5194
AGAP2-AS1,7911
RPL27,10750
IFI35,10750
RPSAP52,7911
HMGA2,7911
UBA52,8481
AC099535.4,3979
MIR4435-2HG,9803
AC093616.4,9803
APOL2,3475
CREBBP,5049
TRAP1,5049
CDK1,2967
EBF1,3555
SMARCA4,8481
C19ORF44,8481
AKT3,14499
DNAH14,14499
CLTC,10750
GOLT1A,14499
KISS1,14499
MT2A,5049
NCKIPSD,3979
CELSR3,3979
SLC25A6,3226
HDGF,14499
TM4SF19,3979
PCYT1A,3979
YIPF5,3555
IL3RA,3226
AP1M2,8481
CDKN2D,8481
MB21D2,3979
FGF12,3979
SLC7A5,5049
SNTB2,5049
VPS4A,5049
ACTN1,6514
ANP32E,14499
APLP2,9113
CENPB,2888
CMIP,5049
EIF4G1,3979
HNRNPU,14499
LARP1,3555
CNOT8,3555
MAGIX,3226
PLP2,3226
MVD,5049
TTC7B,6514
NFATC3,5049
PLA2G15,5049
PIGX,3979
PAK2,3979
PTGES2,4233
SLC25A25-AS1,4233
ANAPC7,7911
KDSR,1207
ARNT,14499
CTSK,14499
DVL3,3979
AP2M1,3979
ENO1,14499
H1F0,3475
ETS1,9113
SQSTM1,3555
GCHFR,8400
HSP90B1,7911
IRAK1,3226
SURF4,4233
LMNB2,8481
AP000318.2,1907
POLR2A,10750
COTL1,5049
PRR11,10750
SMG8,10750
RPTOR,10750
CHMP6,10750
RTN4,9803
SEH1L,1207
CEP192,1207
LDLR,8481
TGM2,2888
GANAB,9113
TRMT12,5194
RNF139,5194
WDR35,9803
TTC32,9803
ZNF570,8481
ZNF793,8481
SLC29A1,3150
HSP90AB1,3150
CDK2,7911
RAB5B,7911
SLC22A18AS,9113
USP47,9113
DEXI,5049
PPP6R3,9113
STIM1,9113
C16ORF62,5049
AARS2,3150
CA5A,5049
CHKA,9113
KIAA1549L,9113
MIR34AHG,14499
GPR157,14499
PMEL,7911
SCARB1,7911
UBC,7911
DDOST,14499
MOG,3150
DLX5,12397
DLX6-AS1,12397
PINK1-AS,14499
ANKLE2,7911
AC006129.1,8481
LINC01480,8481
CD63,7911
ALDOA,5049
SBF2,9113
RBBP6,5049
SLC22A18,9113
TPT1,1058
CTSD,9113
RAB7A,3979
DCT,1058
MESDC1,8400
CFAP161,8400
NCKAP5L,7911
PSMB2,14499
LINC00887,3979
ZNF544,8481
AC010642.1,8481
ZNF8,8481
PTPN11,7911
TRPM8,9803
PPFIBP1,7911
SMCO2,7911
C19ORF38,8481
RWDD1,3150
FAM26D,3150
LAMA3,1207
RBBP8,1207
PPP2R2A,5194
SNX14,3150
MXRA8,14499
SMUG1,7911
BCAR3,14499
ALG14,14499
RAPGEF6,3555
BCL2L1,2888
TTC39C,1207
CABYR,1207
HIST1H2AC,3150
HIST1H2BD,3150
CDK5RAP2,4233
C5,4233
CAPN2,14499
RAB40C,5049
WDR90,5049
EBF4,2888
TMEM50B,1907
MAP4,3979
CBFA2T3,5049
RAPGEF3,7911
NFE2,7911
TTC27,9803
BIRC6,9803
ERP27,7911
MGP,7911
AMOTL1,9113
C11ORF97,9113
CASC3,10750
THRA,10750
SYT14,14499
DIEXF,14499
GMCL1,9803
ANXA4,9803
HEPHL1,9113
PANX1,9113
NDOR1,4233
NELFA,2237
ARHGAP26,3555
BOP1,5194
MGAT3,3475
TAB1,3475
PARL,3979
MAP6D1,3979
ADGRF3,9803
OTOF,9803
PRIM2,3150
TRPC4AP,2888
SPRTN,14499
DISC1,14499
TSNAX-DISC1,14499
AC004549.6,12397
HIBADH,12397
C1GALT1,12397
AC005532.5,12397
PSMD2,3979
CRK,10750
YWHAE,10750
PCCA,1058
UBAC2,1058
PXMP4,2888
E2F1,2888
SHOC2,2967
RBM20,2967
THAP11,5049
ATXN3,6514
ACTN4,8481
PRKCSH,8481
BAIAP2L2,3475
SLC16A8,3475
CCDC91,7911
LMO3,7911
CCL28,3555
C5ORF28,3555
COMMD1,9803
B3GNT2,9803
EP400,7911
NCOR2,7911
HOXC10,7911
FLJ12825,7911
MFSD7,2237
ATP5I,2237
ANP32A,8400
NOP9,6514
LTB4R,6514
NR2F1,3555
CAST,3555
PLA2R1,9803
SLCO1B7,7911
L1CAM,3226
PWWP2B,2967
LRRC27,2967
IGFBP3,12397
SH3BP1,3475
LGALS1,3475
XK,3226
CYBB,3226
ZNF836,8481
ZNF616,8481
CHCHD10,3475
VPREB3,3475
CASC8,5194
MIA2,6514
CTAGE5,6514
AC013463.2,9803
SCN2A,9803
POLR1A,9803
REEP1,9803
AL121578.2,3226
SYTL5,3226
TMC5,5049
CCP110,5049
IGFBP1,12397
S100A6,14499
AC004967.7,12397
OR7E38P,12397
ARPC1B,12397
TXNIP,14499
TECR,8481
CXCL16,10750
AC004066.3,2237
PPA2,2237
ALPP,9803
CEACAM5,8481
MSLN,5049
PSAP,2967
BAIAP2L1,12397
CTSB,5194
CLDN4,12397
LYZ,7911
GNB2L1,3555
GLYCTK,3979
DNAH1,3979
GPRC5A,7911
ITGB4,10750
ARPC1A,12397
HMGA1,3150
PPIA,12397
STAT6,7911
TM2D2,5194
ADAM9,5194
AC012668.2,9803
LINC01614,9803
MTMR8,3226
ASB12,3226
CADM3-AS1,14499
AIM2,14499
TMEM141,4233
CCDC183,4233
CADM4,8481
ZNF428,8481
MED15,3475
SRP14,8400
LGR4,9113
CCDC34,9113
MSMB,2967
NCOA4,2967
TRB@,12397
FTL,8481
ACE2,3226
PIR,3226
ARNTL2,7911
PDIA4,12397
CRKL,3475
XXBAC-B135H6.15,3475
HSPE1,9803
MOB4,9803
LZTR1,3475
MATR3,3555
PAIP2,3555
NCOA3,2888
MN1,3475
TPD52,5194
MRPS28,5194
AC007308.7,3475
CTBP1,2237
KATNAL1,1058
CDH12,3555
SNAP29,3475
TRADD,5049
B3GNT9,5049
VPS45,14499
PLEKHO1,14499
RNASEH2A,8481
ASNA1,8481
CAPZB,14499
TMCO4,14499
EPCAM,9803
MSH2,9803
KLK4,8481
KLKP1,8481
AC156455.1,7911
MLXIP,7911
TBP,3150
MISP,8481
SRRM2,5049
FASN,10750
FBRSL1,7911
HDAC8,3226
CITED1,3226
HMGB2,2237
HSD17B10,3226
SMC1A,3226
JSRP1,8481
RPS28,8481
LRRC75A-AS1,10750
DOCK1,2967
SHPRH,3150
FBXO30,3150
FAM175A,2237
HELQ,2237
EYA2,2888
C4ORF45,2237
KIAA1217,2967
RNF17,1058
TMEM259,8481
SBNO2,8481
AAK1,9803
AC092431.3,9803
PARP4,1058
CNTNAP2,12397
NFAT5,5049
CYB5B,5049
SPIDR,5194
XKR4,5194
AC015849.16,10750
CCL5,10750
CWC25,10750
FBXO47,10750
LINC01429,2888
SALL4,2888
ASAP2,9803
TONSL,5194
SLMAP,3979
ASAP3,14499
TCEA3,14499
NSL1,14499
BATF3,14499
P2RY6,9113
TMED7,3555
TICAM2,3555
ZNF765,8481
TPM3P9,8481
AIM1L,14499
UBXN11,14499
ASNSD1,9803
ANKAR,9803
CUL5,9113
ACAT1,9113
HM13,2888
ID1,2888
IMMP2L,12397
AC003088.1,12397
PPFIA1,9113
ANO1,9113
TMED3,8400
KIAA1024,8400
BLMH,10750
NF1,10750
CD27-AS1,7911
NOP2,7911
ERBB2,10750
GRB7,10750
NDFIP2,1058
LINC01068,1058
RHNO1,7911
ITFG2,7911
SND1,12397
KL,1058
TACSTD2,14499
OMA1,14499
H19,9113
GCSH,5049
C16ORF46,5049
RASSF8,7911
SSPN,7911
BAG6,3150
SLC44A4,3150
BCR,3475
ABL1,4233
NUP214,4233
XKR3,3475
LINC01169,8400
SMAD6,8400
C10ORF76,2967
KCNIP2,2967
AC023590.1,5194
NQO2,3150
C16ORF87,5049
ORC6,5049
DOCK4,12397
C20ORF203,2888
NOL4L,2888
AC108488.4,9803
ADI1,9803
CRELD1,3979
PRRT3-AS1,3979
DUS4L,12397
BCAP29,12397
CCDC26,5194
LINC00977,5194
EIF1,10750
PRKCB,5049
AC079466.1,8481
CD46,14499
MAPK1,3475
FAM126A,12397
STK4,2888
FUS,5049
EWSR1,3475
GCAT,3475
GALR3,3475
GS1-124K5.2,12397
GTF2IP23,12397
HAUS5,8481
C7ORF43,12397
C10ORF54,2967
RPS6,4233
B2M,8400
SARS,14499
CYP20A1,9803
SNX10,12397
AC004540.5,12397
KANSL1,10750
ARL17A,10750
KCNH6,10750
ACE,10750
CCDC57,10750
CCNE1,8481
GOLPH3L,14499
HACD3,8400
JAGN1,3979
TTLL3,3979
ARPC4-TTLL3,3979
VSTM2B,8481
CRLF3,10750
SUZ12P1,10750
ADARB2,2967
CFAP61,2888
CGGBP1,3979
TBC1D5,3979
TBC1D24,5049
ATP6V0C,5049
C1QTNF3,3555
AMACR,3555
CAPN15,5049
ZNF747,5049
ZNF768,5049
HN1L,5049
PELI3,9113
DPP3,9113
PLA2G12A,2237
CASP6,2237
BICD2,4233
IPPK,4233
DHRS7B,10750
PKHD1,3150
RAB3B,14499
PMF1,14499
BGLAP,14499
SIX3,9803
AC012354.6,9803
TUBA1A,7911
TUBA4A,9803
ARID1A,14499
CHGA,6514
ARL6IP1,5049
RPS15A,5049
BIRC5,10750
AFMID,10750
CACNG4,10750
CACNG1,10750
CIART,14499
MRPS21,14499
HSP90AA1,6514
ACIN1,6514
LARS2,3979
LIMD1,3979
LRRC59,10750
MRPL27,10750
CLYBL,1058
PIGT,2888
WFDC2,2888
RDH11,6514
VTI1B,6514
SEPSECS-AS1,2237
PI4K2B,2237
SLC25A37,5194
ZNF341,2888
TNFSF12-TNFSF13,10750
MPDU1,10750
TNFSF13,10750
WASF2,14499
IFI6,14499
TRAF2,4233
ELP6,3979
PTPN23,3979
TRAF3,6514
IGH@,6514
CLCF1,9113
POLD4,9113
PRPF6,2888
HUNK,1907
UNC119B,7911
ATP13A1,8481
ZNF14,8481
DBT,14499
MECOM,3979
CROCCP2,14499
NBPF1,14499
DDX54,7911
TRIM28,8481
ERGIC3,2888
THRIL,7911
FAM120C,3226
NEAT1,9113
FNDC3B,3979
ECT2,3979
MKNK2,8481
PARD6B,2888
BCAS4,2888
TMED6,5049
COG8,5049
CAPZA2,12397
LINC00893,3226
IDS,3226
HMGCR,3555
ANKDD1B,3555
SLC35A5,3979
PIF1,8400
STRADA,10750
LIMD2,10750
PSMC1,6514
AC005540.3,9803
LDHA,9113
KRT7,7911
CACNG8,8481
CACNG6,8481
PYCARD-AS1,5049
TAPBP,3150
NUCKS1,14499
PTRF,10750
STAT3,10750
ANTXR1,9803
AC011897.2,9803
DDX1,9803
AC068286.1,9803
NFIA,14499
AC097374.2,9803
FAM84A,9803
MYCN,9803
RARA,10750
SYN2,3979
PPARG,3979
AACSP1,3555
ZNF354A,3555
AC009336.19,9803
HAGLROS,9803
HOXD3,9803
SSTR2,10750
DDX39B,3150
CHD3,10750
FADS1,9113
WWP2,5049
STARD9,8400
ARGLU1,1058
EFNB2,1058
DBNL,12397
C22ORF29,3475
EIF5B,9803
DNAJC2,12397
FGD4,7911
DNM1L,7911
MED28,2237
INSR,8481
MRFAP1,2237
ARAP1,9113
ZNF22,2967
OGT,3226
TNFRSF10B,5194
RNF115,14499
PDZK1,14499
SCRN1,12397
SPTLC2,6514
BAG1,4233
SRCAP,5049
H6PD,14499
TPM3,14499
DLAT,9113
TPTEP1,3475
UCA1,8481
TRIM33,14499
EGFL8,3150
VGLL4,3979
ZMIZ1,2967
ZNF644,14499
PAPOLA,6514
EIF3D,3475
CDV3,3979
ANKHD1,3555
ANKHD1-EIF4EBP3,3555
GPR1,9803
TMBIM6,7911
GUK1,14499
IBA57,14499
KLHDC4,5049
TPM2,4233
LBH,9803
AC010547.9,5049
ZNF23,5049
MXI1,2967
HARS,3555
PSMD7,5049
PGRMC2,2237
RPL22L1,3979
LRIG2,14499
CHTOP,14499
SEC24A,3555
SPG20-AS1,1058
CCNA1,1058
TPM1,8400
PTPRM,1207
TRIM11,14499
PREX2,5194
UBE2L3,3475
COMT,3475
SPANXA2-OT1,3226
XXYAC-YR29IB3.1,3226
YBX1,14499
MSANTD2,9113
ESAM,9113
TRPM7,8400
USP50,8400
ACTR3,9803
LINC01191,9803
MMP1,9113
CANX,3555
UBTF,10750
URB1,1907
MIS18A,1907
RPL8,5194
DAXX,3150
YWHAB,2888
HDAC3,3555
DIAPH1,3555
NTAN1,5049
XPO6,5049
TMEM245,4233
CTNNAL1,4233
TTBK2,8400
CDAN1,8400
COL3A1,9803
COL4A2,1058
COL1A1,10750
RAD23B,4233
TNXB,3150
COL1A2,12397
BRK1,3979
VHL,3979
SERPINB2,1207
CDH13,5049
FN1,9803
SPARC,3555
ADAM10,8400
AF121898.3,5194
CD36,12397
THBS1,8400
CALD1,12397
SLC20A1,9803
SPOCK1,3555
TPBG,3150
NARS,1207
HEG1,3979
KDM4A,14499
ST3GAL3,14499
SGSM3,3475
TIMP2,10750
PAK3,3226
TFG,3979
GLIPR1,7911
ATP1A1,14499
CFL1,9113
C14ORF2,6514
RPN1,3979
CA13,5194
CTNND1,9113
ENG,4233
FLVCR1,14499
STX16,2888
STX16-NPEPL1,2888
HNRNPK,4233
HSPG2,14499
LTBP3,9113
ICE2,8400
RPS18,3150
LOXL2,5194
CYR61,14499
RELN,12397
MMP24,2888
NME4,5049
PAICS,2237
B3GALT5-AS1,1907
PDGFC,2237
SERPINE1,12397
ACADS,7911
WAPL,2967
IQGAP1,8400
TIMM23B,2967
PARGP1,2967
MIF-AS1,3475
ATXN2,7911
SLC26A4,12397
FLNA,3226
G6PD,3226
ITGA3,10750
PPP1R12A,7911
IL7,5194
PRAME,3475
RFPL1,3475
PSPH,12397
CCT6A,12397
XXBAC-BPG252P9.9,3150
IFI27,6514
ARHGDIA,10750
EDARADD,14499
TKT,3979
RPL39,3226
TM4SF1,3979
MSN,3226
MICAL3,3475
RANGAP1,3475
TUBGCP4,8400
GPHN,6514
MPP5,6514
MUC6,9113
SAMD5,3150
SASH1,3150
LGALS4,8481
HSPD1,9803
PXN,7911
AGRN,14499
TRAF7,5049
TNS4,10750
FITM2,2888
GAPDH,7911
MINOS1-NBL1,14499
NBL1,14499
SLC12A2,3555
EIF5A,10750
SREBF1,10750
UTP6,10750
COPRS,10750
RMND5A,9803
ANAPC1,9803
CEP112,10750
AXIN2,10750
PPP6C,4233
SCAI,4233
PFN1,10750
SLC25A11,10750
PTMS,7911
PSME4,9803
GPR75,9803
P4HB,10750
RPLP1,8400
PLXND1,3979
ZNF263,5049
ZNF75A,5049
KRIT1,12397
COG5,12397
BCLAF1,3150
MTFR2,3150
NELFB,4233
TOR4A,4233
PSMD11,10750
CDK5R1,10750
TBC1D23,3979
NIT2,3979
SET,4233
ARL8B,3979
EDEM1,3979
CCDC174,3979
C3ORF20,3979
DPH2,14499
ATP6V0B,14499
ERBB2IP,3555
SREK1,3555
LINC01036,14499
LINC01037,14499
MFSD1,3979
IQCJ,3979
IQCJ-SCHIP1,3979
SNAI3,5049
NEK6,4233
SIPA1L3,8481
CSTF3,9113
EIF3M,9113
TNPO2,8481
RFX1,8481
EPN2,10750
SPACA3,10750
VCL,2967
PLAU,2967
IFT80,3979
LCA5,3150
ATF7,7911
MAP3K12,7911
PPM1D,10750
BCAS3,10750
SNCG,2967
ADIRF,2967
UBA2,8481
WTIP,8481
WWOX,5049
VAT1L,5049
EZR,3150
PEAR1,14499
LRRC71,14499
CDC42EP4,10750
CPSF4L,10750
KCNA4,9113
AMDHD2,5049
FOXA2,2888
LINC00261,2888
NAP1L1,7911
ARHGDIB,7911
BRCA1,10750
TRIM80P,10750
SLC16A5,10750
CALB1,5194
PRPF31,8481
HSPA5,4233
LINC00886,3979
TIPARP-AS1,3979
QSOX2,4233
BANK1,2237
RBM12B,5194
LINC00535,5194
SLC35G2,3979
NCK1,3979
SMOX,2888
LINC01433,2888
PLEC,5194
TRA@,6514
UBE2N,7911
TSKU,9113
ACER3,9113
ARL17B,10750
VSNL1,9803
AC064875.2,9803
DPYSL5,9803
GFRA3,3555
CDC23,3555
NMNAT2,14499
MAP2,9803
IGLON5,8481
SBK1,5049
SETMAR,3979
ITPR1,3979
TBC1D16,10750
NOS1,7911
ARHGAP35,8481
MBNL1,3979
FXR1,3979
ATP5SL,8481
ADORA2A,3475
UPB1,3475
SLC31A1,4233
SPECC1L-ADORA2A,3475
SPRY4,3555
ADD3-AS1,2967
XPNPEP1,2967
CD4,7911
P3H3,7911
CRYBB2P1,3475
ADRBK2,3475
FAM167A,5194
GLYR1,5049
MEG3,6514
NCAM1,9113
NR2C1,7911
ZNF470,8481
STRIP1,14499
LINC01397,14499
ACTG1,10750
CACNA2D2,3979
CPLX1,2237
FKBP8,8481
MAZ,5049
NCDN,14499
KCNQ2,2888
KDELC1,1058
TEX30,1058
KLF7,9803
OPRD1,14499
EPB41,14499
PIRT,10750
LINC00675,10750
PPP1R16B,2888
FAM83D,2888
RBM22P2,1058
ARL10,3555
RPS27A,9803
ZDHHC1,5049
TPPP3,5049
ZNF3,12397
PPP1R9A,12397
IL17RC,3979
MTMR14,3979
DHRS9,9803
AC007556.3,9803
CLIC4,14499
TRNP1,14499
MINK1,10750
C17ORF107,10750
GRPR,3226
MAGEB17,3226
LA16C-325D7.1,5049
IFNGR2,1907
ATAD2,5194
C5ORF56,3555
SLC22A5,3555
F3,14499
KLK6,8481
ATP5G2,7911
SNRK,3979
ITPR2,7911
ASPH,5194
CSTB,1907
MMP7,9113
ACTR10,6514
KIAA0586,6514
LRFN1,8481
GMFG,8481
EIF3K,8481
SCAF4,1907
TIAM1,1907
MBOAT7,8481
FXYD5,8481
MED12,3226
NLGN3,3226
LINC01004,12397
LHFPL3-AS2,12397
CCM2L,2888
HCK,2888
ORMDL3,10750
GSDMB,10750
TMEM138,9113
TMEM216,9113
C19ORF60,8481
TMEM59L,8481
SMIM3,3555
IRGM,3555
FES,8400
MAN2A2,8400
WEE2-AS1,12397
KIAA1147,12397
ZNF252P,5194
ZNF16,5194
BRCA2,1058
PDS5B,1058
MND1,2237
KIAA0922,2237
SGSH,10750
RAD54L2,3979
ZNF250,5194
COMMD5,5194
CCDC146,12397
PTPN12,12397
FYCO1,3979
LZTFL1,3979
MOCOS,1207
SLC26A2,3555
NLE1,10750
RAD51D,10750
RAD51L3-RFFL,10750
PNPO,10750
CDK5RAP3,10750
PTCRA,3150
CNPY3,3150
ZNF71,8481
SMIM17,8481
TCF7L1,9803
TMSB10,9803
LARP4B,2967
TSPAN33,12397
SMURF2,10750
DDX5,10750
SNAP47,14499
ME2,1207
DCC,1207
SBNO1,7911
ERICH1,5194
KCNQ5,3150
AGAP3,12397
CKAP4,7911
C18ORF25,1207
MALAT1,9113
CCNF,5049
GAS2L1,3475
CRMP1,2237
TMED9,3555
DAZAP2,7911
POLL,2967
FZD2,10750
NUDCD2,3555
HOOK3,5194
KCNH2,12397
COL5A1,4233
LASP1,10750
MYL6,7911
MARC2,14499
SRSF2,10750
MIR497HG,10750
PCM1,5194
SF3A2,8481
MRPL52,6514
LRRFIP1,9803
NCAPD2,7911
RHOBTB3,3555
NSD1,3555
PDXK,1907
AP1M1,8481
POLDIP2,10750
PPIC,3555
NIT1,14499
RANBP2,9803
TGFB1,8481
SMURF1,12397
PLA2G1B,7911
OSGIN1,5049
NECAB2,5049
ELP2,1207
FHOD3,1207
PRKCE,9803
TTC7A,9803
SSRP1,9113
TNKS1BP1,9113
CHMP2B,3979
MAGI1,3979
CCNT2,9803
AC098823.3,9803
AC006273.5,8481
PTBP1,8481
OSGEPL1-AS1,9803
ASXL2,9803
CUTC,2967
ABCC2,2967
INF2,6514
ADSSL1,6514
SNRNP35,7911
SETD8,7911
GBP3,14499
CCBL2,14499
LMBR1,12397
AC005534.8,12397
AIMP2,12397
ANKRD61,12397
KB-1125A3.12,3475
AHR,12397
ZFAND1,5194
SLC10A5,5194
C9ORF78,4233
NQO1,5049
PFAS,10750
RANGRF,10750
SEMA3F,3979
GNAT1,3979
TRIM52,3555
WSB2,7911
VSIG10,7911
DLEU2,1058
RB1,1058
DLEU1,1058
LPAR6,1058
KMT2A,9113
MLLT3,4233
CLEC11A,8481
JMJD1C-AS1,2967
REEP3,2967
AC008440.5,8481
PLSCR4,3979
CEP19,3979
SRGN,2967
ARHGEF40,6514
SLC25A36,3979
CSF3R,14499
DNAJC9-AS1,2967
FADS2,9113
AZU1,8481
LSG1,3979
RCC1,14499
SSU72,14499
MTPN,12397
NISCH,3979
GPT,5194
SH2D3C,4233
TOR2A,4233
HDAC7,7911
MMP14,6514
HCG4P11,3150
XXBAC-BPG248L24.12,3150
LGALS3BP,10750
BST2,8481
L34079.4,8481
PINLYP,8481
NPM1,3555
PDIA6,9803
ISG15,14499
SUMO2,10750
DHCR24,14499
LRRC41,14499
PPM1G,9803
PPP1R13L,8481
ERCC2,8481
TNS3,12397
VIM-AS1,2967
FSTL1,3979
ANXA5,2237
TRPC3,2237
ARF1,14499
CDK13,12397
SUGCT,12397
CERCAM,4233
MOV10,14499
NPC1,1207
PLBD2,7911
ELMOD1,9113
MPZL1,14499
RPLP0,7911
SLC16A3,10750
ARRDC1,4233
EHMT1,4233
RPF1,14499
SEMA4B,8400
ARFGEF3,3150
CNPPD1,9803
SLC23A3,9803
FAM63B,8400
TRIM41,3555
FZR1,8481
GALNT18,9113
IER3,3150
FBXL20,10750
MKLN1,12397
UTP14C,1058
ZNF106,8400
DDX17,3475
RBM25,6514
ABI2,9803
SLC3A2,9113
ABCA2,4233
SUMF2,12397
ZNF609,8400
TINAGL1,14499
TRIM8,2967
GPAT4,5194
DCTN6,5194
RRS1,5194
SDC2,5194
LINC01299,5194
LEPROTL1,5194
EXT1,5194
SENP7,3979
MMP16,5194
CNGB3,5194
PDE7A,5194
GS1-24F4.2,5194
BAG4,5194
OR7E15P,5194
PSIP1,4233
APTX,4233
DNAJA1,4233
CHST9,1207
RHBDD2,12397
