ID	CELL_LINE	DISEASE	DISEASE_NAME
CCLE_038 	Hs737T	SARC	Sarcoma
CCLE_039 	NCIH2342	LUSC	Lung squamous cell carcinoma
CCLE_040 	U251MG	LGG	Brain Lower Grade Glioma
CCLE_041 	MHHNB11	LGG	Brain Lower Grade Glioma
CCLE_042 	KASUMI2	LCLL	Chronic Lymphocytic Leukemia
CCLE_043 	NCIH2073	LUSC	Lung squamous cell carcinoma
CCLE_044 	647V	BLCA	Bladder Urothelial Carcinoma
CCLE_045 	JVM2	LCLL	Chronic Lymphocytic Leukemia
CCLE_046 	Detroit562	HNSC	Head and Neck squamous cell carcinoma
CCLE_047 	SNB75	LGG	Brain Lower Grade Glioma
CCLE_048 	SNU478	LIHC	Liver hepatocellular carcinoma
CCLE_049 	NCIH1435	LUSC	Lung squamous cell carcinoma
CCLE_050 	Hs863T	SARC	Sarcoma
CCLE_051 	LCLC103H	LUSC	Lung squamous cell carcinoma
CCLE_052 	AU565	BRCA	Breast invasive carcinoma
CCLE_053 	RERFLCAI	LUSC	Lung squamous cell carcinoma
CCLE_054 	GSU	STAD	Stomach adenocarcinoma
CCLE_055 	MV411	LCLL	Chronic Lymphocytic Leukemia
CCLE_056 	NCIH2122	LUSC	Lung squamous cell carcinoma
CCLE_057 	TE15	ESCA	Esophageal carcinoma
CCLE_058 	UACC893	BRCA	Breast invasive carcinoma
CCLE_059 	JL1	LUSC	Lung squamous cell carcinoma
CCLE_060 	OCILY3	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_061 	NCIH929	MM	Multiple Myeloma Plasma cell leukemia
CCLE_062 	G361	SKCM	Skin Cutaneous Melanoma
CCLE_063 	SNU423	LIHC	Liver hepatocellular carcinoma
CCLE_064 	NCIH1339	LUSC	Lung squamous cell carcinoma
CCLE_065 	8505C	THCA	Thyroid carcinoma
CCLE_066 	MHHCALL4	LCLL	Chronic Lymphocytic Leukemia
CCLE_067 	TE5	ESCA	Esophageal carcinoma
CCLE_068 	KMS20	MM	Multiple Myeloma Plasma cell leukemia
CCLE_069 	KOPN8	LCLL	Chronic Lymphocytic Leukemia
CCLE_070 	GSS	STAD	Stomach adenocarcinoma
CCLE_071 	BT483	BRCA	Breast invasive carcinoma
CCLE_072 	NH6	LGG	Brain Lower Grade Glioma
CCLE_073 	KMRC3	KIRC	Kidney renal clear cell carcinoma
CCLE_074 	WM793	SKCM	Skin Cutaneous Melanoma
CCLE_075 	U118MG	LGG	Brain Lower Grade Glioma
CCLE_076 	HCC1359	LUSC	Lung squamous cell carcinoma
CCLE_077 	COLO678	COAD	Colon adenocarcinoma
CCLE_078 	Hs895T	SKCM	Skin Cutaneous Melanoma
CCLE_079 	DND41	LCLL	Chronic Lymphocytic Leukemia
CCLE_080 	MUTZ3	LCLL	Chronic Lymphocytic Leukemia
CCLE_081 	SNU1105	LGG	Brain Lower Grade Glioma
CCLE_082 	Hs739T	BRCA	Breast invasive carcinoma
CCLE_083 	C2BBe1	COAD	Colon adenocarcinoma
CCLE_084 	NCIH522	LUSC	Lung squamous cell carcinoma
CCLE_085 	ACHN	KIRC	Kidney renal clear cell carcinoma
CCLE_086 	KYSE180	ESCA	Esophageal carcinoma
CCLE_087 	PANC1	PAAD	Pancreatic adenocarcinoma
CCLE_088 	CORL311	LUSC	Lung squamous cell carcinoma
CCLE_089 	LXF289	LUSC	Lung squamous cell carcinoma
CCLE_090 	BFTC909	KIRC	Kidney renal clear cell carcinoma
CCLE_091 	HEC108	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_092 	COLO680N	ESCA	Esophageal carcinoma
CCLE_093 	KYO1	LCLL	Chronic Lymphocytic Leukemia
CCLE_094 	ES2	OV	Ovarian serous cystadenocarcinoma
CCLE_095 	MONOMAC6	LCLL	Chronic Lymphocytic Leukemia
CCLE_096 	ACCMESO1	MESO	Mesothelioma
CCLE_097 	CAL12T	LUSC	Lung squamous cell carcinoma
CCLE_098 	P3HR1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_099 	NB1	LGG	Brain Lower Grade Glioma
CCLE_100 	PATU8988S	PAAD	Pancreatic adenocarcinoma
CCLE_101 	HT115	COAD	Colon adenocarcinoma
CCLE_102 	Toledo	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_103 	HCC2218	BRCA	Breast invasive carcinoma
CCLE_104 	NCIH2196	LUSC	Lung squamous cell carcinoma
CCLE_105 	EFM19	BRCA	Breast invasive carcinoma
CCLE_106 	HGC27	STAD	Stomach adenocarcinoma
CCLE_107 	NCIH1869	LUSC	Lung squamous cell carcinoma
CCLE_108 	EKVX	LUSC	Lung squamous cell carcinoma
CCLE_109 	HSC2	HNSC	Head and Neck squamous cell carcinoma
CCLE_110 	SKHEP1	LIHC	Liver hepatocellular carcinoma
CCLE_111 	OCUM1	STAD	Stomach adenocarcinoma
CCLE_112 	CORL105	LUSC	Lung squamous cell carcinoma
CCLE_113 	ME1	LCLL	Chronic Lymphocytic Leukemia
CCLE_114 	CADOES1	SARC	Sarcoma
CCLE_115 	SIGM5	LCLL	Chronic Lymphocytic Leukemia
CCLE_116 	MDAMB415	BRCA	Breast invasive carcinoma
CCLE_117 	huH1	LIHC	Liver hepatocellular carcinoma
CCLE_118 	SCC15	HNSC	Head and Neck squamous cell carcinoma
CCLE_119 	SNU201	LGG	Brain Lower Grade Glioma
CCLE_120 	HuT102	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_121 	Hs940T	SKCM	Skin Cutaneous Melanoma
CCLE_122 	BL41	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_123 	LS123	COAD	Colon adenocarcinoma
CCLE_124 	JURLMK1	LCLL	Chronic Lymphocytic Leukemia
CCLE_125 	JHH7	LIHC	Liver hepatocellular carcinoma
CCLE_126 	NCIH1693	LUSC	Lung squamous cell carcinoma
CCLE_127 	CCFSTTG1	LGG	Brain Lower Grade Glioma
CCLE_128 	MKN1	STAD	Stomach adenocarcinoma
CCLE_129 	CAL54	KIRC	Kidney renal clear cell carcinoma
CCLE_130 	GB1	LGG	Brain Lower Grade Glioma
CCLE_131 	NCIH226	LUSC	Lung squamous cell carcinoma
CCLE_132 	MM1S	MM	Multiple Myeloma Plasma cell leukemia
CCLE_133 	HCC202	BRCA	Breast invasive carcinoma
CCLE_134 	NCIH526	LUSC	Lung squamous cell carcinoma
CCLE_135 	OVTOKO	OV	Ovarian serous cystadenocarcinoma
CCLE_136 	NCIH1568	LUSC	Lung squamous cell carcinoma
CCLE_137 	JHH6	LIHC	Liver hepatocellular carcinoma
CCLE_138 	Hs616T	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_139 	HCC4006	LUSC	Lung squamous cell carcinoma
CCLE_140 	RPMI8402	LCLL	Chronic Lymphocytic Leukemia
CCLE_141 	CHP126	LGG	Brain Lower Grade Glioma
CCLE_142 	KMS34	MM	Multiple Myeloma Plasma cell leukemia
CCLE_143 	CAL51	BRCA	Breast invasive carcinoma
CCLE_144 	253JBV	BLCA	Bladder Urothelial Carcinoma
CCLE_145 	MG63	SARC	Sarcoma
CCLE_146 	42MGBA	LGG	Brain Lower Grade Glioma
CCLE_147 	TE14	ESCA	Esophageal carcinoma
CCLE_148 	HCC1588	LUSC	Lung squamous cell carcinoma
CCLE_149 	HuH6	LIHC	Liver hepatocellular carcinoma
CCLE_150 	HCC366	LUSC	Lung squamous cell carcinoma
CCLE_151 	NCIH684	LIHC	Liver hepatocellular carcinoma
CCLE_152 	RCHACV	LCLL	Chronic Lymphocytic Leukemia
CCLE_153 	JM1	LCLL	Chronic Lymphocytic Leukemia
CCLE_154 	JHOS2	OV	Ovarian serous cystadenocarcinoma
CCLE_155 	SNU449	LIHC	Liver hepatocellular carcinoma
CCLE_156 	ALLSIL	LCLL	Chronic Lymphocytic Leukemia
CCLE_157 	Caki2	KIRC	Kidney renal clear cell carcinoma
CCLE_158 	SNU738	LGG	Brain Lower Grade Glioma
CCLE_159 	TO175T	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_160 	U2OS	SARC	Sarcoma
CCLE_161 	A498	KIRC	Kidney renal clear cell carcinoma
CCLE_162 	RERFLCAd1	LUSC	Lung squamous cell carcinoma
CCLE_163 	NCIH1155	LUSC	Lung squamous cell carcinoma
CCLE_164 	KE39	STAD	Stomach adenocarcinoma
CCLE_165 	IGROV1	OV	Ovarian serous cystadenocarcinoma
CCLE_166 	RL952	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_167 	TE11	ESCA	Esophageal carcinoma
CCLE_168 	HCT116	COAD	Colon adenocarcinoma
CCLE_169 	IGR1	SKCM	Skin Cutaneous Melanoma
CCLE_170 	NCIH292	LUSC	Lung squamous cell carcinoma
CCLE_171 	Hs934T	SKCM	Skin Cutaneous Melanoma
CCLE_172 	KU812	LCLL	Chronic Lymphocytic Leukemia
CCLE_173 	Caov4	OV	Ovarian serous cystadenocarcinoma
CCLE_174 	HCC1419	BRCA	Breast invasive carcinoma
CCLE_175 	RS5	LUSC	Lung squamous cell carcinoma
CCLE_176 	JIMT1	BRCA	Breast invasive carcinoma
CCLE_177 	NCIH446	LUSC	Lung squamous cell carcinoma
CCLE_178 	Capan2	PAAD	Pancreatic adenocarcinoma
CCLE_179 	SUDHL8	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_180 	NCIH1581	LUSC	Lung squamous cell carcinoma
CCLE_181 	THP1	LCLL	Chronic Lymphocytic Leukemia
CCLE_182 	A673	SARC	Sarcoma
CCLE_183 	ISTMES2	LUSC	Lung squamous cell carcinoma
CCLE_184 	CMK	LCLL	Chronic Lymphocytic Leukemia
CCLE_185 	SNU1197	COAD	Colon adenocarcinoma
CCLE_186 	HuTu80	STAD	Stomach adenocarcinoma
CCLE_187 	JVM3	LCLL	Chronic Lymphocytic Leukemia
CCLE_188 	SNU1214	HNSC	Head and Neck squamous cell carcinoma
CCLE_189 	KMS11	MM	Multiple Myeloma Plasma cell leukemia
CCLE_190 	BFTC905	BLCA	Bladder Urothelial Carcinoma
CCLE_191 	LS411N	COAD	Colon adenocarcinoma
CCLE_192 	HT1197	BLCA	Bladder Urothelial Carcinoma
CCLE_193 	KPNSI9s	LGG	Brain Lower Grade Glioma
CCLE_194 	BHY	HNSC	Head and Neck squamous cell carcinoma
CCLE_195 	T3M4	PAAD	Pancreatic adenocarcinoma
CCLE_196 	NCIH889	LUSC	Lung squamous cell carcinoma
CCLE_197 	SKLU1	LUSC	Lung squamous cell carcinoma
CCLE_198 	EFM192A	BRCA	Breast invasive carcinoma
CCLE_199 	NUGC2	STAD	Stomach adenocarcinoma
CCLE_200 	OV7	OV	Ovarian serous cystadenocarcinoma
CCLE_201 	NCIH596	LUSC	Lung squamous cell carcinoma
CCLE_202 	IGR37	SKCM	Skin Cutaneous Melanoma
CCLE_203 	Hs688(A)T	SKCM	Skin Cutaneous Melanoma
CCLE_204 	BL70	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_205 	NCIH2286	LUSC	Lung squamous cell carcinoma
CCLE_206 	KM12	COAD	Colon adenocarcinoma
CCLE_207 	CHP212	LGG	Brain Lower Grade Glioma
CCLE_208 	HEC1A	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_209 	TEN	UCEC	Uterine Corpus Endometrioid Carcinoma
CCLE_210 	RT4	BLCA	Bladder Urothelial Carcinoma
CCLE_211 	NCIH727	LUSC	Lung squamous cell carcinoma
CCLE_212 	DB	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_213 	GOS3	LGG	Brain Lower Grade Glioma
CCLE_214 	SUDHL10	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_215 	Calu6	LUSC	Lung squamous cell carcinoma
CCLE_216 	COV362	OV	Ovarian serous cystadenocarcinoma
CCLE_217 	NCIH2171	LUSC	Lung squamous cell carcinoma
CCLE_218 	Kasumi6	LCLL	Chronic Lymphocytic Leukemia
CCLE_219 	Li7	LIHC	Liver hepatocellular carcinoma
CCLE_220 	L540	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_221 	HCC827	LUSC	Lung squamous cell carcinoma
CCLE_222 	YAPC	PAAD	Pancreatic adenocarcinoma
CCLE_223 	KMRC20	KIRC	Kidney renal clear cell carcinoma
CCLE_224 	FaDu	HNSC	Head and Neck squamous cell carcinoma
CCLE_225 	ZR751	BRCA	Breast invasive carcinoma
CCLE_226 	A375	SKCM	Skin Cutaneous Melanoma
CCLE_227 	Hs695T	SKCM	Skin Cutaneous Melanoma
CCLE_228 	MDAMB175VII	BRCA	Breast invasive carcinoma
CCLE_229 	22Rv1	PRAD	Prostate adenocarcinoma
CCLE_230 	Hs675T	COAD	Colon adenocarcinoma
CCLE_231 	MIAPaCa2	PAAD	Pancreatic adenocarcinoma
CCLE_232 	NCIH1105	LUSC	Lung squamous cell carcinoma
CCLE_233 	Daudi	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_234 	VMRCRCZ	KIRC	Kidney renal clear cell carcinoma
CCLE_235 	NCIH1666	LUSC	Lung squamous cell carcinoma
CCLE_236 	SKNDZ	LGG	Brain Lower Grade Glioma
CCLE_237 	ZR7530	BRCA	Breast invasive carcinoma
CCLE_238 	EFO27	OV	Ovarian serous cystadenocarcinoma
CCLE_239 	NCIH2444	LUSC	Lung squamous cell carcinoma
CCLE_240 	MFE319	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_241 	Ishikawa(Heraklio)02ER	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_242 	SKMEL5	SKCM	Skin Cutaneous Melanoma
CCLE_243 	SJSA1	SARC	Sarcoma
CCLE_244 	KMS12BM	MM	Multiple Myeloma Plasma cell leukemia
CCLE_245 	HuH7	LIHC	Liver hepatocellular carcinoma
CCLE_246 	SKMEL24	SKCM	Skin Cutaneous Melanoma
CCLE_247 	OVMANA	OV	Ovarian serous cystadenocarcinoma
CCLE_248 	KMRC2	KIRC	Kidney renal clear cell carcinoma
CCLE_249 	MSTO211H	LUSC	Lung squamous cell carcinoma
CCLE_250 	HCC1806	BRCA	Breast invasive carcinoma
CCLE_251 	OVISE	OV	Ovarian serous cystadenocarcinoma
CCLE_252 	EFO21	OV	Ovarian serous cystadenocarcinoma
CCLE_253 	PE/CAPJ15	HNSC	Head and Neck squamous cell carcinoma
CCLE_254 	MDAMB436	BRCA	Breast invasive carcinoma
CCLE_255 	T24	BLCA	Bladder Urothelial Carcinoma
CCLE_256 	HCC2279	LUSC	Lung squamous cell carcinoma
CCLE_257 	NCIH1838	LUSC	Lung squamous cell carcinoma
CCLE_258 	SW900	LUSC	Lung squamous cell carcinoma
CCLE_259 	253J	BLCA	Bladder Urothelial Carcinoma
CCLE_260 	PF382	LCLL	Chronic Lymphocytic Leukemia
CCLE_261 	NCIH1781	LUSC	Lung squamous cell carcinoma
CCLE_262 	HCC1143	BRCA	Breast invasive carcinoma
CCLE_263 	SNU5	STAD	Stomach adenocarcinoma
CCLE_264 	SNU1041	HNSC	Head and Neck squamous cell carcinoma
CCLE_265 	NCIH2110	LUSC	Lung squamous cell carcinoma
CCLE_266 	Hs839T	SKCM	Skin Cutaneous Melanoma
CCLE_267 	RKO	COAD	Colon adenocarcinoma
CCLE_268 	NCIH510	LUSC	Lung squamous cell carcinoma
CCLE_269 	VCaP	PRAD	Prostate adenocarcinoma
CCLE_270 	SNU466	LGG	Brain Lower Grade Glioma
CCLE_271 	MOLP8	MM	Multiple Myeloma Plasma cell leukemia
CCLE_272 	NCCStCK140	STAD	Stomach adenocarcinoma
CCLE_273 	NUGC4	STAD	Stomach adenocarcinoma
CCLE_274 	TE125T	SARC	Sarcoma
CCLE_275 	C32	SKCM	Skin Cutaneous Melanoma
CCLE_276 	BC3C	BLCA	Bladder Urothelial Carcinoma
CCLE_277 	NCIH1648	LUSC	Lung squamous cell carcinoma
CCLE_278 	SNU489	LGG	Brain Lower Grade Glioma
CCLE_279 	NCIH1437	LUSC	Lung squamous cell carcinoma
CCLE_280 	AGS	STAD	Stomach adenocarcinoma
CCLE_281 	MDAPCa2b	PRAD	Prostate adenocarcinoma
CCLE_282 	MOLM13	LCLL	Chronic Lymphocytic Leukemia
CCLE_283 	YD8	HNSC	Head and Neck squamous cell carcinoma
CCLE_284 	COLO320	COAD	Colon adenocarcinoma
CCLE_285 	SW1353	SARC	Sarcoma
CCLE_286 	OCIM1	LCLL	Chronic Lymphocytic Leukemia
CCLE_287 	Hs611T	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_288 	RKN	SARC	Sarcoma
CCLE_289 	JHH1	LIHC	Liver hepatocellular carcinoma
CCLE_290 	MCAS	OV	Ovarian serous cystadenocarcinoma
CCLE_291 	KASUMI1	LCLL	Chronic Lymphocytic Leukemia
CCLE_292 	PLC/PRF/5	LIHC	Liver hepatocellular carcinoma
CCLE_293 	DEL	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_294 	TUHR10TKB	KIRC	Kidney renal clear cell carcinoma
CCLE_295 	HMCB	SKCM	Skin Cutaneous Melanoma
CCLE_296 	NALM19	LCLL	Chronic Lymphocytic Leukemia
CCLE_297 	HDQP1	BRCA	Breast invasive carcinoma
CCLE_298 	MESSA	SARC	Sarcoma
CCLE_299 	SNU475	LIHC	Liver hepatocellular carcinoma
CCLE_300 	NCIH1299	LUSC	Lung squamous cell carcinoma
CCLE_301 	NCIH2085	LUSC	Lung squamous cell carcinoma
CCLE_302 	KS1	LGG	Brain Lower Grade Glioma
CCLE_303 	RPMI7951	SKCM	Skin Cutaneous Melanoma
CCLE_304 	DMS273	LUSC	Lung squamous cell carcinoma
CCLE_305 	NCIH322	LUSC	Lung squamous cell carcinoma
CCLE_306 	TM31	LGG	Brain Lower Grade Glioma
CCLE_307 	SH4	SKCM	Skin Cutaneous Melanoma
CCLE_308 	MOLT13	LCLL	Chronic Lymphocytic Leukemia
CCLE_309 	SNU1272	KIRC	Kidney renal clear cell carcinoma
CCLE_310 	KHM1B	MM	Multiple Myeloma Plasma cell leukemia
CCLE_311 	GCIY	STAD	Stomach adenocarcinoma
CCLE_312 	SNU16	STAD	Stomach adenocarcinoma
CCLE_313 	DBTRG05MG	LGG	Brain Lower Grade Glioma
CCLE_314 	HCC1395	BRCA	Breast invasive carcinoma
CCLE_315 	SNU899	HNSC	Head and Neck squamous cell carcinoma
CCLE_316 	KALS1	LGG	Brain Lower Grade Glioma
CCLE_317 	RI1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_318 	MHHCALL2	LCLL	Chronic Lymphocytic Leukemia
CCLE_319 	SUDHL1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_320 	NAMALWA	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_321 	NCIH1573	LUSC	Lung squamous cell carcinoma
CCLE_322 	SNU620	STAD	Stomach adenocarcinoma
CCLE_323 	SKMM2	MM	Multiple Myeloma Plasma cell leukemia
CCLE_324 	ML1	THCA	Thyroid carcinoma
CCLE_325 	RH18	SARC	Sarcoma
CCLE_326 	NCIH2052	LUSC	Lung squamous cell carcinoma
CCLE_327 	MPP89	LUSC	Lung squamous cell carcinoma
CCLE_328 	CAL33	HNSC	Head and Neck squamous cell carcinoma
CCLE_329 	TE159T	SARC	Sarcoma
CCLE_330 	NCIH1915	LUSC	Lung squamous cell carcinoma
CCLE_331 	SUPT1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_332 	WM983B	SKCM	Skin Cutaneous Melanoma
CCLE_333 	JHH2	LIHC	Liver hepatocellular carcinoma
CCLE_334 	KMBC2	BLCA	Bladder Urothelial Carcinoma
CCLE_335 	UACC812	BRCA	Breast invasive carcinoma
CCLE_336 	MDAMB468	BRCA	Breast invasive carcinoma
CCLE_337 	NCO2	LCLL	Chronic Lymphocytic Leukemia
CCLE_338 	NCIH460	LUSC	Lung squamous cell carcinoma
CCLE_339 	Daoy	LGG	Brain Lower Grade Glioma
CCLE_340 	KiJK	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_341 	MHHES1	SARC	Sarcoma
CCLE_342 	KPL1	BRCA	Breast invasive carcinoma
CCLE_343 	OAW42	OV	Ovarian serous cystadenocarcinoma
CCLE_344 	LU65	LUSC	Lung squamous cell carcinoma
CCLE_345 	SNGM	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_346 	BCP1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_347 	HCC2935	LUSC	Lung squamous cell carcinoma
CCLE_348 	SNU182	LIHC	Liver hepatocellular carcinoma
CCLE_349 	KARPAS620	MM	Multiple Myeloma Plasma cell leukemia
CCLE_350 	SNU668	STAD	Stomach adenocarcinoma
CCLE_351 	SNU1040	COAD	Colon adenocarcinoma
CCLE_352 	HCC1195	LUSC	Lung squamous cell carcinoma
CCLE_353 	SNU8	OV	Ovarian serous cystadenocarcinoma
CCLE_354 	RERFLCAd2	LUSC	Lung squamous cell carcinoma
CCLE_355 	639V	BLCA	Bladder Urothelial Carcinoma
CCLE_356 	DU145	PRAD	Prostate adenocarcinoma
CCLE_357 	SKUT1	SARC	Sarcoma
CCLE_358 	NCIH1792	LUSC	Lung squamous cell carcinoma
CCLE_359 	Loucy	LCLL	Chronic Lymphocytic Leukemia
CCLE_360 	BT549	BRCA	Breast invasive carcinoma
CCLE_361 	LOXIMVI	SKCM	Skin Cutaneous Melanoma
CCLE_362 	BCPAP	THCA	Thyroid carcinoma
CCLE_363 	KCL22	LCLL	Chronic Lymphocytic Leukemia
CCLE_364 	CAL78	SARC	Sarcoma
CCLE_365 	NCIH841	LUSC	Lung squamous cell carcinoma
CCLE_366 	JMSU1	BLCA	Bladder Urothelial Carcinoma
CCLE_367 	SR786	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_368 	SF126	LGG	Brain Lower Grade Glioma
CCLE_369 	LS513	COAD	Colon adenocarcinoma
CCLE_370 	WM115	SKCM	Skin Cutaneous Melanoma
CCLE_371 	Panc0327	PAAD	Pancreatic adenocarcinoma
CCLE_372 	Hs255T	COAD	Colon adenocarcinoma
CCLE_373 	NCIH716	COAD	Colon adenocarcinoma
CCLE_374 	UBLC1	BLCA	Bladder Urothelial Carcinoma
CCLE_375 	DKMG	LGG	Brain Lower Grade Glioma
CCLE_376 	MHHCALL3	LCLL	Chronic Lymphocytic Leukemia
CCLE_377 	SNU213	PAAD	Pancreatic adenocarcinoma
CCLE_378 	ECGI10	ESCA	Esophageal carcinoma
CCLE_379 	HUPT4	PAAD	Pancreatic adenocarcinoma
CCLE_380 	A3/KAW	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_381 	MEG01	LCLL	Chronic Lymphocytic Leukemia
CCLE_382 	SKMES1	LUSC	Lung squamous cell carcinoma
CCLE_383 	H4	LGG	Brain Lower Grade Glioma
CCLE_384 	EB1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_385 	HUPT3	PAAD	Pancreatic adenocarcinoma
CCLE_386 	SUDHL4	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_387 	BICR18	HNSC	Head and Neck squamous cell carcinoma
CCLE_388 	MKN7	STAD	Stomach adenocarcinoma
CCLE_389 	Hs229T	LUSC	Lung squamous cell carcinoma
CCLE_390 	MOLM6	LCLL	Chronic Lymphocytic Leukemia
CCLE_391 	SKBR3	BRCA	Breast invasive carcinoma
CCLE_392 	ST486	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_393 	HCC38	BRCA	Breast invasive carcinoma
CCLE_394 	SKNAS	LGG	Brain Lower Grade Glioma
CCLE_395 	DU4475	BRCA	Breast invasive carcinoma
CCLE_396 	NCIH1975	LUSC	Lung squamous cell carcinoma
CCLE_397 	SNU761	LIHC	Liver hepatocellular carcinoma
CCLE_398 	A2058	SKCM	Skin Cutaneous Melanoma
CCLE_399 	RERFGC1B	STAD	Stomach adenocarcinoma
CCLE_400 	SNU61	COAD	Colon adenocarcinoma
CCLE_401 	SU8686	PAAD	Pancreatic adenocarcinoma
CCLE_402 	BICR16	HNSC	Head and Neck squamous cell carcinoma
CCLE_403 	LAMA84	LCLL	Chronic Lymphocytic Leukemia
CCLE_404 	NCIH2030	LUSC	Lung squamous cell carcinoma
CCLE_405 	MFE296	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_406 	NCIH650	LUSC	Lung squamous cell carcinoma
CCLE_407 	Panc0203	PAAD	Pancreatic adenocarcinoma
CCLE_408 	MDAMB435S	BRCA	Breast invasive carcinoma
CCLE_409 	CL11	COAD	Colon adenocarcinoma
CCLE_410 	HepG2	LIHC	Liver hepatocellular carcinoma
CCLE_411 	ABC1	LUSC	Lung squamous cell carcinoma
CCLE_412 	CAS1	LGG	Brain Lower Grade Glioma
